topic_Name,News_Link,News_Concept,News_Relevance,News_Sentiment
coronavirus,/url?q=https://economictimes.indiatimes.com/news/newsblogs/latest-daily-news-and-updates-june-26/liveblog/76635379.cms&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjADegQIBBAB&usg=AOvVaw0xjyyeH-6FG_uyxA17h-mW,Time,0.886784,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/news/newsblogs/latest-daily-news-and-updates-june-25/liveblog/76615101.cms&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjAEegQICBAB&usg=AOvVaw0cNxwxDlLfs_g3LCb1pEFh,Passenger,0.886784,neutral
coronavirus,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/coronavirus-updates-global-coronavirus-count-surpasses-7-5-million/liveblog/76365369.cms&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjAFegQIBxAB&usg=AOvVaw3kTHsbpJk5wWnlZrOJlKpg,Blog,0.91136,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/coronavirus-cases-in-india-live-news-latest-updates-june11/liveblog/76312706.cms&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjANegQIARAB&usg=AOvVaw34wkQbRQHzSJcEQ6nfXGoa,Blog,0.91136,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/coronavirus-cases-in-india-live-news-latest-updates-june12/liveblog/76331675.cms&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjAOegQIAhAB&usg=AOvVaw0EBcHoTbgWsFX8si3r5Dvf,World Health Organization,0.932431,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/coronavirus&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjAPegQIBRAB&usg=AOvVaw1GFrE643Ykr0PE_lTAnwP_,Broadsheet,0.909961,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/news/economy/indicators/india-ratings-sees-a-historic-slump-in-growth-due-to-coronavirus/articleshow/76550614.cms&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjAQegQIAxAB&usg=AOvVaw007JXTkgoyzuwXyWn8kOVS,Broadsheet,0.909961,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/coronavirus-cases-in-india-live-news-latest-updates-june10/liveblog/76293348.cms&sa=U&ved=2ahUKEwjKycHf7p7qAhUSwjgGHRAqBh4QFjARegQIBhAB&usg=AOvVaw0Wl8c_FrODFGqSLFX5kJ8t,Blog,0.91136,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/news/economy/indicators/lockdown-extension-to-have-deep-impact-on-indian-economy-report/articleshow/76132363.cms&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjAAegQIABAB&usg=AOvVaw3pZDZ4iS4TNjo1avYVAW7D,Broadsheet,0.909961,positive
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/lockdown-extension&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjABegQICBAB&usg=AOvVaw0WahFODCvrx2SghPzRjQo9,Broadsheet,0.909961,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/opinion/et-view/view-extension-of-lockdown-uncalled-for/articleshow/75496182.cms&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjACegQICRAB&usg=AOvVaw2XvURkYP0u7zu3f2-vZfw7,Government,0.91136,neutral
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/lockdown-extension-in-india&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjADegQIBxAB&usg=AOvVaw09-XnwEQBDQUQIost2OWGd,Broadsheet,0.909961,positive
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/extension-of-lockdown&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjAEegQIBhAB&usg=AOvVaw3G5kJXdqlkkg6voqRpx5BO,Government,0.91136,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/india-lockdown-extension&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjAFegQIARAB&usg=AOvVaw0MAdHvRaRP1kbA05Ecz2Cr,Broadsheet,0.909961,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/coronavirus-lockdown-likely-to-be-extended-till-may-31-with-more-relaxations/articleshow/75767853.cms&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjAGegQIAhAB&usg=AOvVaw1UnrI2xT_XtrZQdXzrDFs0,,,neutral
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/lockdown-extended-till-may-31-for-first-city/articleshow/75789642.cms&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjAHegQIBBAB&usg=AOvVaw1nxn8-r4-K-F7ZTIA2Tzz7,Economics,0.878398,negative
Lockdown-extension,/url?q=https://m.economictimes.com/opinion/et-view/view-extension-of-lockdown-uncalled-for/articleshow/75496182.cms&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjAIegQIAxAB&usg=AOvVaw0B9AZcPOUZqIAk8_ZmqeC_,English musical groups,0.861256,neutral
Lockdown-extension,/url?q=https://m.economictimes.com/news/company/corporate-trends/lockdown-needs-to-have-a-defined-tenure-anand-mahindra/articleshow/76110098.cms&sa=U&ved=2ahUKEwjshcHm7p7qAhUHwzgGHZ9dA48QFjAJegQIBRAB&usg=AOvVaw3DRmOyNnllu1n2KbwTGKKK,Breaking news,0.921262,negative
